table,column,description
invoices_header,doc_id,See script comments.
invoices_header,doc_type,See script comments.
invoices_header,vendor_id,See script comments.
invoices_header,vendor_name,See script comments.
invoices_header,customer_id,See script comments.
invoices_header,customer_name,See script comments.
invoices_header,issue_date,See script comments.
invoices_header,due_date,See script comments.
invoices_header,currency,See script comments.
invoices_header,subtotal,See script comments.
invoices_header,tax_rate,See script comments.
invoices_header,tax_amount,See script comments.
invoices_header,shipping,See script comments.
invoices_header,total_amount,See script comments.
invoices_header,payment_terms,See script comments.
invoices_header,po_number,See script comments.
invoices_header,status,See script comments.
receipts_header,doc_id,See script comments.
receipts_header,doc_type,See script comments.
receipts_header,vendor_id,See script comments.
receipts_header,vendor_name,See script comments.
receipts_header,customer_id,See script comments.
receipts_header,customer_name,See script comments.
receipts_header,issue_date,See script comments.
receipts_header,due_date,See script comments.
receipts_header,currency,See script comments.
receipts_header,subtotal,See script comments.
receipts_header,tax_rate,See script comments.
receipts_header,tax_amount,See script comments.
receipts_header,shipping,See script comments.
receipts_header,total_amount,See script comments.
receipts_header,payment_terms,See script comments.
receipts_header,po_number,See script comments.
receipts_header,status,See script comments.
bank_statement,bank_txn_id,See script comments.
bank_statement,booking_date,See script comments.
bank_statement,value_date,See script comments.
bank_statement,amount,See script comments.
bank_statement,currency,See script comments.
bank_statement,counterparty_name,See script comments.
bank_statement,counterparty_account,See script comments.
bank_statement,description,See script comments.
bank_statement,channel,See script comments.
